"id";"title";"year";"synopsis";"director";"producer";"writer";"release_date_id";"box_office";"runtime";"production_co";"sound_mix";"aspect_ratio";"collection";"crew";"rating_id";"genre_id";"language_id"
"58";"An Inconvenient Truth";"2006";"Filmmaker Davis Guggenheim follows Al Gore on the lecture circuit, as the former presidential candidate campaigns to raise public awareness of the dangers of global warming and calls for immediate action to curb its destructive effects on the environment.";"Bob Persichetti, Peter Ramsey, Rodney Rothman";"Avi Arad, Amy Pascal, Phil Lord, Christopher Miller, Christina Steinberg";"Phil Lord, Rodney Rothman";"27";"220.10";"147";"Thunder Road Pictures, 87eleven";"";"Scope (2.35:1)";"";"Keanu Reeves, Halle Berry, Ian McShane, Laurence Fishburne, Mark Dacascos, Asia Kate Dillon, Lance Reddick, Tobias Segal, Anjelica Huston, Chad Stahelski, Derek Kolstad, Shay Hatten, Chris Collins, Marc Abrams, Basil Iwanyk, Erica Lee, Chad Stahelski, David Leitch, Joby Harold";"2";"14";"1"
"59";"Anatomy of a Murder";"1959";"Semi-retired Michigan lawyer Paul Biegler (James Stewart) takes the case of Army Lt. Manion (Ben Gazzara), who murdered a local innkeeper after his wife (Lee Remick) claimed that he raped her. Over the course of an extensive trial, Biegler parries with District Attorney Lodwick (Brooks West) and out-of-town prosecutor Claude Dancer (George C. Scott) to set his client free, but his case rests on the victim's mysterious business partner (Kathryn Grant), who's hiding a dark secret.";"Lee Unkrich";"Darla K. Anderson";"Adrian Molina, Matthew Aldrich";"51";"153.60";"120";"Marvel Studios, Marvel Entertainment";"Dolby Digital, Dolby Atmos";"Scope (2.35:1)";"Marvel Cinematic Universe";"Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams, Benedict Wong, Mads Mikkelsen, Tilda Swinton, Michael Stuhlbarg, Benjamin Bratt, Scott Adkins, Zara Phythian, Scott Derrickson, Jon Spaihts, Scott Derrickson, C. Robert Cargill, Kevin Feige, Louis D'Esposito, Victoria Alonso, Stephen Broussard, Charles Newirth, Stan Lee";"1";"8";"1"
"60";"Annie Hall";"1977";"Comedian Alvy Singer (Woody Allen) examines the rise and fall of his relationship with struggling nightclub singer Annie Hall (Diane Keaton). Speaking directly to the audience in front of a bare background, Singer reflects briefly on his childhood and his early adult years before settling in to tell the story of how he and Annie met, fell in love, and struggled with the obstacles of modern romance, mixing surreal fantasy sequences with small moments of emotional drama.";"Paul King";"David Heyman";"Paul King, Simon Farnaby";"49";"190.20";"117";"Twentieth Century Fox, Brandywine Productions";"Surround, Dolby Stereo, Magnetic Stereo 6 Track, Stereo";"Flat (1.85:1)";"Alien";"Sigourney Weaver, Carrie Henn, Michael Biehn, Paul Reiser, Lance Henriksen, Bill Paxton, William Hope, Jenette Goldstein, Al Matthews, Mark Rolston, James Cameron, James Cameron, David Giler, Gordon Carroll, David Giler, Gale Anne Hurd, James Horner, Adrian Biddle, Ray Lovejoy, Peter Lamont";"2";"10";"1"
"61";"Annihilation";"2018";"Lena, a biologist and former soldier, joins a mission to uncover what happened to her husband inside Area X -- a sinister and mysterious phenomenon that is expanding across the American coastline. Once inside, the expedition discovers a world of mutated landscapes and creatures, as dangerous as it is beautiful, that threatens both their lives and their sanity.";"Byron Howard, Rich Moore";"Clark Spencer";"Jared Bush, Phil Johnston";"52";"412.80";"141";"Lucasfilm Ltd.";"Surround, Dolby Stereo, Dolby A, Magnetic Stereo 6 Track";"Scope (2.35:1)";"Star Wars Saga";"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams, Anthony Daniels, David Prowse, James Earl Jones, Peter Mayhew, Kenny Baker, Frank Oz, Irvin Kershner, George Lucas, Lawrence Kasdan, Leigh Brackett, Jim Bloom, Gary Kurtz, George Lucas, Robert Watts, Peter Suschitzky";"3";"10";"1"
"62";"Anomalisa";"2015";"An inspirational speaker (David Thewlis) becomes reinvigorated after meeting a lively woman (Jennifer Jason Leigh) who shakes up his mundane existence.";"Lee Unkrich";"Darla K. Anderson";"Michael Arndt";"53";"188.00";"107";"Bryna Productions";"Mono, Stereo";"Flat (1.37:1), 35mm";"";"Kirk Douglas, Ralph Meeker, Adolphe Menjou, George Macready, Richard Anderson, Timothy Carey, Christiane Kubrick, Bert Freed, Stanley Kubrick, Humphrey Cobb, Stanley Kubrick, Calder Willingham, Jim Thompson, Kirk Douglas, James B. Harris, Gerald Fried, Georg Krause, Eva Kroll";"6";"11";"1"
"63";"Ant-Man and The Wasp";"2018";"Scott Lang is grappling with the consequences of his choices as both a superhero and a father. Approached by Hope van Dyne and Dr. Hank Pym, Lang must once again don the Ant-Man suit and fight alongside the Wasp. The urgent mission soon leads to secret revelations from the past as the dynamic duo finds itself in an epic battle against a powerful new enemy.";"Andrew Stanton";"Lindsey Collins";"Andrew Stanton, Victoria Strouse";"34";"210.50";"109";"Scott Rudin Productions, Mike Zoss Productions";"SDDS, Dolby Digital, DTS";"";"";"Jeff Bridges, Matt Damon, Josh Brolin, Barry Pepper, Hailee Steinfeld, Dakin Matthews, Jarlath Conroy, Paul Rae, Elizabeth Marvel, Roy Lee Jones, Joel Coen, Ethan Coen, Joel Coen, Ethan Coen, Scott Rudin, Joel Coen, Ethan Coen, Steven Spielberg, Robert Graf, David Ellison";"1";"16";"1"
"64";"Antz";"1998";"Z the worker ant (Woody Allen) strives to reconcile his own individuality with the communal work-ethic of the ant colony. He falls in love with ant-Princess Bala (Sharon Stone), Z strives to make social inroads, and then must save the ant colony from the treacherous scheming of the evil General Mandible (Gene Hackman) that threaten to wipe out the entire worker population.";"Phil Lord, Christopher Miller";"Dan Lin, Roy Lee";"Phil Lord, Christopher Miller";"54";"315.00";"130";"Bad Hat Harry, Donners' Company";"Dolby Atmos, Datasat";"";"X-Men";"Hugh Jackman, James McAvoy, Michael Fassbender, Jennifer Lawrence, Halle Berry, Ellen Page, Peter Dinklage, Ian McKellen, Patrick Stewart, Anna Paquin, Bryan Singer, Simon Kinberg, Lauren Shuler Donner, Bryan Singer, Simon Kinberg, Hutch Parker, Stan Lee, Todd Hallowell, Josh McLaglen, John Ottman";"1";"15";"1"
"65";"Anvil! The Story of Anvil";"2008";"Canadian heavy-metal band Anvil delivered a highly influential 1982 album that would inspire the likes of Anthrax and Metallica, and then dropped off the map to begin what would become decades of toiling in obscurity. Director and former roadie Sacha Gervasi follows guitarist Steve ""Lips"" Kudlow and drummer Robb Reiner as they stumble through a harrowing European tour and reflect on failure, friendship, resilience and the will to follow even the most impossible of dreams.";"John Lasseter";"Unknown";"John Lasseter, Pete Docter, Joe Ranft, Joss Whedon, Andrew Stanton, Joel Cohen, Alec Sokolow";"55";"226.30";"137";"Columbia Pictures, Horizon Films";"Surround, Mono, Magnetic Stereo 6 Track, Stereo";"Scope (2.35:1)";"";"William Holden, Alec Guinness, Sessue Hayakawa, Jack Hawkins, James Donald, Geoffrey Horne, Andre Morrell, John Boxer, Percy Herbert, David Lean, Pierre Boulle, Michael Wilson, Sam Spiegel, Malcolm Arnold, Jack Hildyard, Stuart Freeborn";"3";"11";"1"
"66";"Apocalypse Now";"1979";"In Vietnam in 1970, Captain Willard (Martin Sheen) takes a perilous and increasingly hallucinatory journey upriver to find and terminate Colonel Kurtz (Marlon Brando), a once-promising officer who has reportedly gone completely mad. In the company of a Navy patrol boat filled with street-smart kids, a surfing-obsessed Air Cavalry officer (Robert Duvall), and a crazed freelance photographer (Dennis Hopper), Willard travels further and further into the heart of darkness.";"Travis Knight";"Arianne Sutner, Travis Knight";"Marc Haimes, Chris Butler";"56";"620.20";"152";"Badlands Company, Pressman-Williams";"Mono";"35mm";"";"Martin Sheen, Sissy Spacek, Warren Oates, Ramon Bieri, Alan Vint, Gary Littlejohn, Bryan Montgomery, Gail Threlkeld, Charles Fitzpatrick, Terrence Malick, Terrence Malick, Edward R. Pressman, Louis A. Stroller, George Aliceson Tipton, Tak Fujimoto, Stevan Larner";"3";"18";"1"
"67";"Apollo 11";"2019";"Never-before-seen footage and audio recordings take you straight into the heart of NASA's most celebrated mission as astronauts Neil Armstrong, Buzz Aldrin and Michael Collins embark on a historic trip to the moon.";"Chris Sanders, Dean DeBlois";"Bonnie Arnold";"Chris Sanders, Dean DeBlois";"20";"700.20";"134";"King Brothers Productions";"Mono";"35mm";"";"Peggy Cummins, John Dall, Berry Kroeger, Morris Carnovsky, Anabel Shaw, Nedrick Young, Trevor Bardette, Joseph H. Lewis, MacKinlay Kantor, MacKinlay Kantor, Dalton Trumbo, Franklin King, Maurice King, Russell Harlan, Harry W. Gerstad, Gordon Wiles";"6";"18";"1"
"68";"Apollo 13";"1995";"This Hollywood drama is based on the events of the Apollo 13 lunar mission, astronauts Jim Lovell (Tom Hanks), Fred Haise (Bill Paxton) and Jack Swigert (Kevin Bacon) find everything going according to plan after leaving Earth's orbit. However, when an oxygen tank explodes, the scheduled moon landing is called off. Subsequent tensions within the crew and numerous technical problems threaten both the astronauts' survival and their safe return to Earth.";"Mark Burton, Richard Starzak";"Julie Lockhart, Paul Kewley";"Mark Burton, Richard Starzak";"57";"858.40";"181";"Before the Door, Washingston Square Films";"Dolby Digital";"";"";"Robert Redford, J.C. Chandor, J.C. Chandor, Neal Dodson, Anna Gerb, Justin Nappi, Teddy Schwarzman, Cassian Elwes, Laura Rister, Glen Basner, Joshua Blum";"1";"14";"1"
"69";"Appaloosa";"2008";"Virgil Cole (Ed Harris) and his longtime friend and partner Everett Hitch (Viggo Mortensen) travel the 1880s Southwest, bringing justice to lawless towns desperate enough to hire them. In the mining town of Appaloosa, malevolent rancher Randall Bragg and his cronies ride roughshod over the frightened citizens. As Cole and Hitch work to end Bragg's reign of terror, an unconventional widow (Renee Zellweger) arrives, complicating the job and threatening their bond.";"Andrew Stanton";"Jim Morris";"Andrew Stanton, Jim Reardon";"58";"220.10";"147";"Warner Bros. Pictures, Lin Pictures, Vertigo Entertainment";"Dolby Atmos, Dolby Digital, SDDS, Datasat";"Scope (2.35:1)";"Batman";"Will Arnett, Michael Cera, Rosario Dawson, Ralph Fiennes, Zach Galifianakis, Jenny Slate, Jason Mantzoukas, Conan O'Brien, Doug Benson, Chris McKay, Seth Grahame-Smith, Chris McKenna, Erik Sommers, Jared Stern, John Whittington, Dan Lin, Phil Lord, Christopher Miller, Roy Lee";"3";"12";"1"
"70";"Arachnophobia";"1990";"After a nature photographer (Mark L. Taylor) dies on assignment in Venezuela, a poisonous spider hitches a ride in his coffin to his hometown in rural California, where arachnophobe Dr. Ross Jennings (Jeff Daniels) has just moved in with his wife, Molly (Harley Jane Kozak), and young son. As town residents start turning up dead, Jennings begins to suspect spiders, and must face his fears as he and no-nonsense exterminator Delbert McClintock (John Goodman) fight to stop a deadly infestation.";"Ben Sharpsteen";"Walt Disney";"Joe Grant, Dick Huemer";"59";"153.60";"120";"Act III Communications, Princess Bride Ltd., Buttercup Films Ltd.";"Surround, Dolby Stereo";"Flat (1.85:1)";"";"Cary Elwes, Robin Wright, Mandy Patinkin, Chris Sarandon, Christopher Guest, Wallace Shawn, Fred Savage, Peter Falk, Peter Cook, Carol Kane, Rob Reiner, William Goldman, Steve Nicolaides, Rob Reiner, Andrew Scheinman, Jeffrey Stott, Willy De Ville, Mark Knopfler, Adrian Biddle";"3";"13";"1"
"71";"Argo";"2012";"On Nov. 4, 1979, militants storm the U.S. embassy in Tehran, Iran, taking 66 American hostages. Amid the chaos, six Americans manage to slip away and find refuge with the Canadian ambassador. Knowing that it's just a matter of time before the refugees are found and likely executed, the U.S. government calls on extractor Tony Mendez (Ben Affleck) to rescue them. Mendez's plan is to pose as a Hollywood producer scouting locations in Iran and train the refugees to act as his ""film"" crew.";"Claude Barras";"Marc Bonny, Armelle Glorennec, Pauline Gygax, Max Karli";"CГ©line Sciamma";"60";"190.20";"117";"Ram Bergman";"";"Scope (2.35:1)";"";"Bruce Willis, Joseph Gordon-Levitt, Emily Blunt, Paul Dano, Noah Segan, Piper Perabo, Jeff Daniels, Summer Qing, Tracie Thoms, Frank Brennan, Rian Johnson, Rian Johnson, Ram Bergman, James D. Stern, Douglas E. Hansen, Julie Goldstein, Peter Schlessel, Joseph Gordon-Levitt, Dan Mintz, Steve Yedlin";"2";"14";"1"
"72";"Army in the Shadows";"1969";"This adaptation of the book by Joseph Kessel paints an understated, unglamorous portrait of the French Resistance during World World II. Betrayed by an informant, Philippe Gerbier (Lino Ventura) finds himself trapped in a torturous Nazi prison camp. Though Gerbier escapes to rejoin the Resistance in occupied Marseilles, France, and exacts his revenge on the informant, he must continue a quiet, seemingly endless battle against the Nazis in an atmosphere of tension, paranoia and distrust.";"Isao Takahata";"Yasuyoshi Tokuma";"Isao Takahata, David Freedman";"49";"412.80";"141";"Allied Filmmakers, DreamWorks Pictures, Aardman Animations, PathГ© Pictures";"Dolby EX, SDDS, DTS, Surround";"Flat (1.85:1)";"";"Mel Gibson, Julia Sawalha, Miranda Richardson, Jane Horrocks, Lynn Ferguson, Imelda Staunton, Benjamin Whitrow, Tony Haygarth, Timothy Spall, Phil Daniels, Peter Lord, Nick Park, Karey Kirkpatrick, Jake Eberts, Jeffrey Katzenberg, Harry Gregson-Williams, Dave Alex Riddett, Tristan Oliver";"4";"13";"1"
"73";"Arrival";"2016";"Linguistics professor Louise Banks (Amy Adams) leads an elite team of investigators when gigantic spaceships touch down in 12 locations around the world. As nations teeter on the verge of global war, Banks and her crew must race against time to find a way to communicate with the extraterrestrial visitors. Hoping to unravel the mystery, she takes a chance that could threaten her life and quite possibly all of mankind.";"Gary Trousdale, Kirk Wise";"Don Hahn";"Linda Woolverton";"61";"188.00";"107";"Mosfilm";"";"";"";"Aleksandr Kajdanovsky, Nikolay Grinko, Anatoliy Solonitsyn, Alisa Freindlich, Natasha Abramova, F. Yurna, E. Kostin, R. Rendi, Andrei Tarkovsky, Arkadiy Strugatskiy, Boris Strugatskiy, Arkadiy Strugatskiy, Boris Strugatskiy, Lyudmila Feyginova";"6";"9";"3"
"74";"Arthur Christmas";"2011";"Everyone knows that, each Christmas, Santa Claus delivers presents to every last child on Earth. What everyone doesn't know is that Santa accomplishes the feat with a very high-tech operation beneath the North Pole. But when the unthinkable happens, and Santa misses one child out of hundreds of millions, someone has to save the day. It's up to Arthur (James McAvoy), Santa's youngest son, to deliver a present to the forgotten tyke before Christmas morning dawns.";"Dan Scanlon";"Kori Rae";"Dan Scanlon, Jason Headley, Keith Bunin";"62";"210.50";"109";"Eon Productions Ltd., Sony Pictures Entertainment, Metro-Goldwyn-Mayer";"Dolby SRD, DTS, SDDS";"Scope (2.35:1)";"James Bond 007";"Daniel Craig, Eva Green, Mads Mikkelsen, Judi Dench, Caterina Murino, Simon Abkarian, Jeffrey Wright, Giancarlo Giannini, Ivana Milicevic, Isaach De BankolГ©, Martin Campbell, Neal Purvis, Robert Wade, Anthony Waye, Ian Fleming, Barbara Broccoli, Michael G. Wilson, Christian Wagner, Debbie McWilliams";"1";"14";"1"
"75";"Ash Is Purest White";"2018";"In an industrial city in China, a young dancer named Qiao falls in love with a mobster named Bin. When a fight breaks out between rival gangs, Qiao uses a gun to protect Bin and is sent to prison for five years.";"Henry Selick";"Tim Burton, Denise Di Novi, Kathleen Gavin";"Caroline Thompson";"6";"315.00";"130";"Marvel Studios, Walt Disney Pictures";"Dolby Digital, Dolby Atmos";"Scope (2.35:1)";"Marvel Cinematic Universe";"Chris Pratt, Zoe Saldana, Bradley Cooper, Dave Bautista, Vin Diesel, Michael Rooker, Karen Gillan, Sylvester Stallone, Pom Klementieff, Kurt Russell, James Gunn, James Gunn, Kevin Feige, Victoria Alonso, Louis D'Esposito, Nikolas Korda, Stan Lee, Jonathan Schwartz, Henry Braham, Fred Raskin";"1";"12";"1"
"76";"Assault on Precinct 13";"1976";"When the LAPD kills several members of the South Central gang Street Thunder, the remaining members avenge themselves by way of a bloody war waged against cops and citizens alike. Caught in the crossfire is Lt. Ethan Bishop (Austin Stoker), who's managing a skeleton crew at the local and soon-to-be-closed police precinct. As the gang members close in, Bishop forms an unlikely alliance with a group of prisoners in order to defend the station and the lives of everyone in it.";"Pete Docter";"Darla K. Anderson";"Unknown";"15";"226.30";"137";"Harbor Picture Company, Bona Fide Productions, Nut Bucket Films, Armory Films";"";"Scope (2.35:1)";"";"Shia LaBeouf, Dakota Johnson, Zack Gottsagen, John Hawkes, Bruce Dern, Thomas Haden Church, Jon Bernthal, YelaWolf, Jake Roberts, Mick Foley, Tyler Nilson, Tyler Nilson, Tim Zajaros, Christopher Lemole, Albert Berger, Ron Yerxa, Timothy Shriver";"1";"12";"1"
"77";"Athlete A";"2020";"Reporters from The Indianapolis Star expose Dr. Larry Nassar's sexual abuse of young gymnasts.";"James Algar, Samuel Armstrong, Ford Beebe, Norman Ferguson, Jim Handley, T. Hee, Wilfred Jackson, Hamilton Luske, Bill Roberts, Paul Satterfield";"Unknown";"Unknown";"63";"620.20";"152";"Miramax, Paramount Vantage, Scott Rudin Productions";"Dolby Digital, DTS, SDDS";"Scope (2.35:1)";"";"Tommy Lee Jones, Javier Bardem, Josh Brolin, Woody Harrelson, Kelly Macdonald, Garret Dillahunt, Tess Harper, Barry Corbin, Stephen Root, Rodger Boyce, Joel Coen, Ethan Coen, Joel Coen, Ethan Coen, Joel Coen, Ethan Coen, Scott Rudin, Robert Graf, Mark Roybal, Roger Deakins";"2";"14";"1"
"78";"Atlantics";"2019";"After the bodies of his friends feeling Senegal for Europe wash up on a shore, a young woman assumes that her missing lover is dead.";"Makoto Shinkai";"Noritaka Kawaguchi, Genki Kawamura";"Makoto Shinkai";"54";"700.20";"134";"Chernin Entertainment";"Dolby Atmos";"";"Planet of the Apes";"Andy Serkis, Jason Clarke, Gary Oldman, Keri Russell, Toby Kebbell, Kodi Smit-McPhee, Kirk Acevedo, Jon Eyez, Enrique Murciano, Terry Notary, Matt Reeves, Rick Jaffa, Amanda Silver, Mark Bomback, Peter Chernin, Dylan Clark, Rick Jaffa, Amanda Silver, Thomas M. Hammel, Mark Bomback";"1";"10";"1"
"79";"Avengers: Endgame";"2019";"Adrift in space with no food or water, Tony Stark sends a message to Pepper Potts as his oxygen supply starts to dwindle. Meanwhile, the remaining Avengers -- Thor, Black Widow, Captain America and Bruce Banner -- must figure out a way to bring back their vanquished allies for an epic showdown with Thanos -- the evil demigod who decimated the planet and the universe.";"Tomm Moore";"Tomm Moore, Ross Murray, Paul Young, StГ©phan Roelants, Serge Ume, Isabelle Truc, ClГ©ment Calvet, Jeremie Fajner";"Will Collins";"64";"858.40";"181";"Marvel Studios";"DTS, Dolby Atmos, Dolby Digital";"Scope (2.35:1)";"Marvel Cinematic Universe";"Brie Larson, Samuel L. Jackson, Ben Mendelsohn, Djimon Hounsou, Lee Pace, Lashana Lynch, Gemma Chan, Clark Gregg, Jude Law, Annette Bening, Anna Boden, Ryan Fleck, Anna Boden, Ryan Fleck, Geneva Robertson-Dworet, Jac Schaeffer, Kevin Feige, Victoria Alonso, Louis D'Esposito, Stan Lee";"1";"9";"1"
"80";"Avengers: Infinity War";"2018";"Iron Man, Thor, the Hulk and the rest of the Avengers unite to battle their most powerful enemy yet -- the evil Thanos. On a mission to collect all six Infinity Stones, Thanos plans to use the artifacts to inflict his twisted will on reality. The fate of the planet and existence itself has never been more uncertain as everything the Avengers have fought for has led up to this moment.";"Roger Allers, Rob Minkoff";"Don Hahn";"Irene Mecchi, Jonathan Roberts, Linda Woolverton";"65";"220.10";"147";"Pixar Animation Studios, Walt Disney Pictures";"Dolby Atmos, DTS";"Scope (2.35:1)";"Pixar";"Tom Holland, Chris Pratt, Julia Louis-Dreyfus, Octavia Spencer, Ali Wong, John Ratzenberger, Lena Waithe, Mel Rodriguez, Grey Griffin, Tracey Ullman, Dan Scanlon, Dan Scanlon, Jason Headley, Keith Bunin, Kori Rae, Pete Docter, Sharon Calahan, Catherine Apple";"3";"8";"1"
"81";"Babe";"1995";"Gentle farmer Arthur Hoggett (James Cromwell) wins a piglet named Babe (Christine Cavanaugh) at a county fair. Narrowly escaping his fate as Christmas dinner when Farmer Hoggett decides to show him at the next fair, Babe bonds with motherly border collie Fly (Miriam Margolyes) and discovers that he too can herd sheep. But will the other farm animals, including Fly's jealous husband Rex, accept a pig who doesn't conform to the farm's social hierarchy?";"Robert Zemeckis";"Robert Watts, Frank Marshall";"Jeffrey Price, Peter S. Seaman";"66";"153.60";"120";"Black Label Media, Thunder Road Pictures";"Dolby Digital";"";"";"Emily Blunt, Benicio Del Toro, Josh Brolin, Victor Garber, Jon Bernthal, Daniel Kaluuya, Jeffrey Donovan, Raoul Trujillo, Julio Cesar Cedillo, Denis Villeneuve, Taylor Sheridan, Basil Iwanyk, Edward L. McDonnell, Molly Smith, Thad Luckinbill, Trent Luckinbill, Roger Deakins, JГіhann JГіhannsson";"2";"11";"1"
"82";"Baby Driver";"2017";"Talented getaway driver Baby (Ansel Elgort) relies on the beat of his personal soundtrack to be the best in the game. After meeting the woman (Lily James) of his dreams, he sees a chance to ditch his shady lifestyle and make a clean break. Coerced into working for a crime boss (Kevin Spacey), Baby must face the music as a doomed heist threatens his life, love and freedom.";"Dean DeBlois";"Bradford Lewis, Bonnie Arnold";"Dean DeBlois";"67";"190.20";"117";"Columbia Pictures, Black Rhino Productions";"Magnetic Stereo 6 Track, Dolby Stereo, Surround";"Scope (2.35:1)";"Ghostbusters";"Bill Murray, Dan Aykroyd, Harold Ramis, Sigourney Weaver, Rick Moranis, Annie Potts, William Atherton, Ernie Hudson, Ivan Reitman, Dan Aykroyd, Harold Ramis, Bernie Brillstein, Michael C. Gross, Joe Medjuck, Ivan Reitman, Ray Parker Jr., LГЎszlГі KovГЎcs";"3";"12";"1"
"83";"Back to the Future";"1985";"In this 1980s sci-fi classic, small-town California teen Marty McFly (Michael J. Fox) is thrown back into the '50s when an experiment by his eccentric scientist friend Doc Brown (Christopher Lloyd) goes awry. Traveling through time in a modified DeLorean car, Marty encounters young versions of his parents (Crispin Glover, Lea Thompson), and must make sure that they fall in love or he'll cease to exist. Even more dauntingly, Marty has to return to his own time and save the life of Doc Brown.";"George Dunning";"Unknown";"Al Brodax, Roger McGough, Jack Mendelsohn, Lee Minoff, Erich Segal";"68";"412.80";"141";"Nippon Herald Films, Greenwich Film Productions, Herald Ace";"Magnetic Stereo 4 Track, Dolby Stereo, Surround";"Scope (2.35:1)";"";"Tatsuya Nakadai, Mieko Harada, Akira Terao, Jinpachi Nezu, Daisuke Ryu, Yoshiko Miyazaki, Kazuo Kato, Masayuki Yui, Hitoshi Ueki, Hisashi Igawa, Akira Kurosawa, Masato Ide, Akira Kurosawa, Hideo Oguni, William Shakespeare, Katsumi Furukawa, Masato Hara, Hisao Kurosawa, Serge Silberman, Toru Takemitsu";"2";"11";"2"
"84";"Badlands";"1973";"Inspired by real-life killers Charles Starkweather and Caril-Ann Fugate, this tale of crime and love begins in a dead-end town. Teenage girl Holly (Sissy Spacek) angers her father (Warren Oates) when she begins dating an older and rebellious boy (Martin Sheen). After a conflict between Holly and her father erupts in murder, the young lovers are forced to flee. In the ensuing crime spree, they journey through the Midwest to the Badlands of Montana, eluding authorities along the way.";"Vincent Patar";"Unknown";"Unknown";"69";"188.00";"107";"Constantin Film, Ocean Films [es], Jolly Film";"Mono";"";"";"Clint Eastwood, Marianne Koch, Joe Edger, Wolfgang Lukschy, Johnny Wells, Carol Brown, Pepe Calvo, Antonio Prieto, Sieghardt Rupp, Benny Reeves, Sergio Leone, Ennio Morricone, Massimo Dallamano, Harry Colombo, George Papi, Federico G. Larraya, Roberto Cinquini, Carlo Simi";"2";"16";"4"
"85";"Balthazar";"1966";"This thoughtful and unique French film reveals the surprisingly deep connection between Marie (Anne Wiazemsky), a sensitive farm girl, and her cherished donkey, Balthazar. Though Marie and Balthazar are eventually separated when she gets older, the tale follows both the young woman and the donkey as they contend with the hardships of the world. Although Marie and Balthazar often encounter cruelty from the various people they meet, they also find small moments of beauty.";"Ron Clements, John Musker";"Ron Clements, John Musker";"Ron Clements, Ted Elliott, John Musker, Terry Rossio";"70";"210.50";"109";"Renaissance Films";"Surround";"";"";"Kenneth Branagh, Derek Jacobi, Brian Blessed, Ian Holm, Paul Scofield, Michael Maloney, Alec McCowen, Emma Thompson, Geraldine McEwan, Simon Shepherd, Kenneth Branagh, Kenneth Branagh, Bruce Sharman, Michael Bradsell, Patrick Doyle, Debbie McWilliams, Tim Harvey, Martin Childs";"1";"11";"1"
"86";"Bambi";"1942";"In a classic Disney animation, a fawn named Bambi joins his new friends, a young rabbit named Thumper and a skunk kit named Flower in happily exploring the woods. Bambi is captivated with a young doe named Faline, and he learns from his doting mother and his father -- the Great Prince of the Forest -- that besides the delights of the forest, there is danger in open meadows where hunters can see them. Though fear and tragedy touch Bambi's life, another spring brings renewal.";"Chris Buck, Jennifer Lee";"Peter Del Vecho";"Jennifer Lee";"71";"315.00";"130";"New Line Cinema, Saul Zaentz Company";"Dolby EX, Dolby SR, Dolby Digital, SDDS, Dolby Stereo, DTS, Surround, Dolby A";"Scope (2.35:1)";"Lord of the Rings";"Elijah Wood, Ian McKellen, Liv Tyler, Viggo Mortensen, Sean Astin, Cate Blanchett, John Rhys-Davies, Bernard Hill, Christopher Lee, Billy Boyd, Peter Jackson, Peter Jackson, Philippa Boyens, Fran Walsh, Stephen Sinclair, Tim Sanders, Peter Jackson, Barrie M. Osborne, Fran Walsh";"1";"8";"1"
"87";"Bamboozled";"2000";"A blistering satire of network television's pitfalls and prejudices, a humorous look at how race, ratings and the pursuit of power lead to a television writer's stunning rise and tragic downfall. Pierre Delacroix, a young, Harvard-educated man, who is the sole person of color, writing for an upstart network with floundering ratings. Despite several attempts, Delacroix has yet to see any of his concepts go into production.";"Phil Johnston, Rich Moore";"Clark Spencer";"Phil Johnston, Pamela Ribon";"43";"226.30";"137";"Marvel Enterprises";"Dolby Digital, Datasat, Dolby Atmos";"";"Marvel Cinematic Universe";"Chris Evans, Scarlett Johansson, Samuel L. Jackson, Sebastian Stan, Robert Redford, Anthony Mackie, Cobie Smulders, Frank Grillo, Emily VanCamp, Hayley Atwell, Anthony Russo, Joe Russo, Christopher Markus, Stephen McFeely, Kevin Feige, Alan Fine, Louis D'Esposito, Victoria Alonso, Michael Grillo, Stan Lee";"1";"8";"1"
"88";"Battle of the Sexes";"2017";"The 1973 tennis match between Billie Jean King and Bobby Riggs became the most watched televised sports event of all time. Trapped in the media glare, King and Riggs were on opposites sides of a binary argument, but off-court each was fighting more personal and complex battles. With her husband urging her to fight for equal pay, the private King was also struggling to come to terms with her own sexuality, while Riggs gambled his legacy and reputation in a bid to relive the glories of his past.";"Michael Dudok de Wit";"ValГ©rie Schermann, Christophe Jankovic";"Michael Dudok de Wit, Pascale Ferran";"72";"620.20";"152";"Universal Pictures, Amblin Entertainment";"Surround";"";"";"Michael J. Fox, Christopher Lloyd, Crispin Glover, Lea Thompson, Wendie Jo Sperber, Marc McClure, Claudia Wells, Thomas F. Wilson, James Tolkan, Casey Siemaszko, Robert Zemeckis, Kathleen Kennedy, Frank Marshall, Steven Spielberg, Bob Gale, Neil Canton, Alan Silvestri, Johnny Colla, Dean Cundey";"3";"9";"1"
