"id";"title";"year";"synopsis";"director";"producer";"writer";"release_date_id";"box_office";"runtime";"production_co";"sound_mix";"aspect_ratio";"collection";"crew";"rating_id";"genre_id";"language_id"
"587";"Rivers and Tides: Andy Goldsworthy With Time";"2001";"Andy Goldsworthy's art is supposed to fall apart. He creates large-scale outdoor sculptures and artworks out of natural materials like mud, wood, ice and stone in an attempt to imbue the physical world with a spiritual, ephemeral element. Director Thomas Riedelsheimer follows Goldsworthy as he constructs his art everywhere from upstate New York to his home village in Scotland, and questions the solitary artist about his inspirations, frustrations and artistic goals.";"Guillermo del Toro";"Alfonso CuarГіn, Bertha Navarro, Guillermo del Toro, Frida Torresblanco";"Guillermo del Toro";"77";"153.60";"120";"Arte France, Cohen Media Group, Artline Films";"";"";"";"Wes Anderson, Olivier Assayas, Paul Schrader, Arnaud Desplechin, David Fincher, James Gray, Richard Linklater, Kiyoshi Kurosawa, Martin Scorsese, Kent Jones, Kent Jones, Serge Toubiana, Olivier Mille, Charles S. Cohen, Rachel Reichman, Jeremiah Bornfield";"1";"22";"1"
"588";"Rocky";"1976";"Rocky Balboa (Sylvester Stallone), a small-time boxer from working-class Philadelphia, is arbitrarily chosen to take on the reigning world heavyweight champion, Apollo Creed (Carl Weathers), when the undefeated fighter's scheduled opponent is injured. While training with feisty former bantamweight contender Mickey Goldmill (Burgess Meredith), Rocky tentatively begins a relationship with Adrian (Talia Shire), the wallflower sister of his meat-packer pal Paulie (Burt Young).";"James Whale";"Carl Laemmle Jr.";"R.C. Sherriff, Preston Sturges, H.G. Wells, Philip Wylie";"79";"190.20";"117";"End of Music, HBO Documentary Films, Public Road Prods., Universal Pictures Intl. Entertainment";"";"";"";"Courtney Love, Tracey Marander, Krist Novoselic, Brett Morgen, Brett Morgen, Brett Morgen, Sheila Nevins, Frances Bean Cobain, David Byrnes, Eric Edwards";"6";"22";"1"
"589";"Roma";"2018";"Cleo is one of two domestic workers who help Antonio and SofГ­a take care of their four children in 1970s Mexico City. Complications soon arise when Antonio suddenly runs away with his mistress and Cleo finds out that she's pregnant. When SofГ­a decides to take the kids on vacation, she invites Cleo for a much-needed getaway to clear her mind and bond with the family.";"Rob Savage";"Unknown";"Rob Savage, Gemma Hurley, Jed Shepherd";"92";"412.80";"141";"MinistГЁre de la Culture et de la Communication, Werner Herzog Filmproduktion, Arte France, History";"";"";"";"Werner Herzog, Werner Herzog, Werner Herzog, Peter Zeitlinger";"4";"22";"1"
"590";"Roman Holiday";"1953";"Overwhelmed by her suffocating schedule, touring European princess Ann (Audrey Hepburn) takes off for a night while in Rome. When a sedative she took from her doctor kicks in, however, she falls asleep on a park bench and is found by an American reporter, Joe Bradley (Gregory Peck),who takes her back to his apartment for safety. At work the next morning, Joe finds out Ann's regal identity and bets his editor he can get exclusive interview with her, but romance soon gets in the way.";"Robert Eggers";"Jay Van Hoy, Lars Knudsen, Jodi Redmond, Daniel Bekerman, Rodrigo Teixeira";"Robert Eggers";"77";"188.00";"107";"";"";"";"";"Steve Wiebe, Mark Alpiger, Walter Day, Steve Sanders, Robert Mruczek, Todd Rogers, Seth Gordon, Seth Gordon, Ed Cunningham, Seth Gordon, Seth Gordon";"1";"22";"1"
"591";"Room 237";"2012";"Filmmaker Rodney Ascher analyzes Stanley Kubrick's film adaptation of Stephen King's classic horror novel ""The Shining.""";"Drew Goddard";"Joss Whedon";"Joss Whedon, Drew Goddard";"79";"210.50";"109";"Dog Eat Dog Films, United Broadcasting Inc., Salter Street Films International";"Surround, Dolby Stereo";"";"";"George W. Bush, Dick Clark, Charlton Heston, Marilyn Manson, John Nichols, Matt Stone, Charles Bishop, Jim Czarnecki, Michael Donovan, Kathleen Glynn, Wolfram Tichy, Kurt Engfehr, Tia Lessin";"2";"22";"1"
"592";"Rosemary's Baby";"1968";"A young wife comes to believe that her offspring is not of this world. Waifish Rosemary Woodhouse (Mia Farrow) and her struggling actor husband Guy (John Cassavetes) move to a New York City apartment building with an ominous reputation and odd neighbors Roman and Minnie Castavet (Sidney Blackmer, Ruth Gordon). When Rosemary becomes pregnant she becomes increasingly isolated, and the diabolical truth is revealed only after Rosemary gives birth.";"Nicolas Roeg";"Peter Katz";"Allan Scott, Chris Bryant";"92";"315.00";"130";"SenArt Films, Globe Department Store, @radical media Inc.";"";"";"";"Robert S. McNamara, Lyndon B. Johnson, Errol Morris, Errol Morris, Julie Ahlberg, Jack Lechner, Jon Kamen, Frank Scherma, Robert May, John Sloss";"1";"22";"1"
"593";"Saint Frances";"2019";"After an abortion, a deadbeat nanny finds friendship with the 6-year-old she's hired to watch.";"Andy Muschietti";"Roy Lee, Dan Lin, Seth Grahame-Smith, David Katzenberg, Barbara Muschietti";"Chase Palmer, Cary Fukunaga, Gary Dauberman";"77";"226.30";"137";"";"";"";"";"Stephen Badger, Aretha Franklin, Alicia Keys, Bono, Jimmy Cliff, Greg ""Freddy"" Camalier, Matthew Freud, Richard Lowe, Anthony Arendt";"3";"22";"1"
"594";"Saraband";"2003";"Following Johan (Erland Josephson) and Marianne (Liv Ullmann) 30 years after the events of ""Scenes from a Marriage,"" this sequel finds the couple long since divorced and remarried. After Johan separates from his second wife, and Marianne loses her second husband, the ex-lovers try to reconnect. Meanwhile, Johan's son, Henrik (BГ¶rje Ahlstedt), is having problems of his own with his daughter, Karin (Julia Dufvenius), a cellist whose career plans don't match her father's expectations.";"Brandon Cronenberg";"Fraser Ash, Niv Fichman, Kevin Krikst, Andrew Starke";"Brandon Cronenberg";"79";"620.20";"152";"";"";"";"";"Rachel Mason, Larry Flynt, Jeff Stryker, Phil Tarley, Alaska Thunderfuck, Rachel Mason, Kathryn Robson, Rachel Mason, John Battsek, Adam Baran, Cynthia Childs, Camilla Hall, Kathryn Robson";"6";"28";"1"
"595";"Say Anything...";"1989";"In a charming, critically acclaimed tale of first love, Lloyd (John Cusack), an eternal optimist, seeks to capture the heart of Diane (Ione Skye), an unattainable high-school beauty and straight-A student. It surprises just about everyone when she returns the sentiment. But Diane's overly possessive, divorced father (John Mahoney) doesn't approve and it will take more than the power of love to conquer all.";"Natalie Erika James";"Jake Gyllenhaal";"Natalie Erika James, Christian White";"92";"700.20";"134";"Concordia Studio";"";"";"";"Jesse Moss, Jesse Moss, Davis Guggenheim, Jonathan Silberberg, Nicole Stott, Jeff Seymann Gilbert";"1";"22";"1"
"596";"Scarface";"1932";"Key lieutenant of South Side Chicago crime boss Johnny Lovo (Osgood Perkins), Tony Camonte (Paul Muni) is an ambitious and reckless gangster who ignores warnings not to mess with Irish gangs on the North Side. When the North Side retaliates, Tony essentially massacres them, leaving him on top of the world. Worried about Tony's overconfidence, however, Johnny orders him killed, but this also backfires, and Tony finds himself even closer to becoming king of the city.";"Alfred Hitchcock";"Alfred Hitchcock";"Evan Hunter";"77";"858.40";"181";"";"";"";"";"BeyoncГ©";"6";"21";"32"
